"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
209,"2020-10-26",0,0,0,0,0.0425531562506286,0.00321474749950636,2.22044604925031e-16,2.22044604925031e-16
210,"2020-10-27",0,0,0,0,0.0417366253580524,0.0031660392040593,1.38219768632805e-13,4.73160639547652e-14
211,"2020-10-28",0,0,0,0,0.0408863530021303,0.00311878488758081,2.22044604925031e-16,2.22044604925031e-16
212,"2020-10-29",0,0,0,0,0.0400115597194953,0.00307292040393998,2.22044604925031e-16,2.22044604925031e-16
213,"2020-10-30",0,0,0,0,0.0391079136098238,0.00302838532562195,2.22044604925031e-16,2.22044604925031e-16
214,"2020-10-31",0,0,0,0,0.0382102267871648,0.00298512267811307,2.22044604925031e-16,2.22044604925031e-16
215,"2020-11-01",0,0,0,0,0.037317903561271,0.00294307869696815,2.22044604925031e-16,2.22044604925031e-16
216,"2020-11-02",0,0,0,0,0.0364296161643553,0.00290220295403532,2.22044604925031e-16,2.22044604925031e-16
217,"2020-11-03",0,0,0,0,0.0355888305040543,0.00286244640367014,2.22044604925031e-16,2.22044604925031e-16
218,"2020-11-04",0,0,0,0,0.0351701944001415,0.00282376469551749,2.22044604925031e-16,2.22044604925031e-16
219,"2020-11-05",0,0,0,0,0.0348264177353038,0.00278611450066732,2.22044604925031e-16,2.22044604925031e-16
220,"2020-11-06",0,0,0,0,0.0344757695570834,0.00274945509826205,2.22044604925031e-16,2.22044604925031e-16
221,"2020-11-07",0,0,0,0,0.0341170715797628,0.00271374788919986,2.22044604925031e-16,2.22044604925031e-16
222,"2020-11-08",0,0,0,0,0.0337500880439475,0.00267895624995541,2.22044604925031e-16,2.22044604925031e-16
223,"2020-11-09",0,0,0,0,0.0333759139763447,0.00264504541098629,2.22044604925031e-16,2.22044604925031e-16
224,"2020-11-10",0,0,0,0,0.0329952141254001,0.00261198234334896,2.22044604925031e-16,2.22044604925031e-16
225,"2020-11-11",0,0,0,0,0.0326022117001165,0.00257973631213038,2.22044604925031e-16,2.22044604925031e-16
226,"2020-11-12",0,0,0,0,0.0246682272342602,0.00254827545692582,2.22044604925031e-16,2.22044604925031e-16
227,"2020-11-13",0,0,0,0,0.0241293403917413,0.00251757334298711,2.22044604925031e-16,2.22044604925031e-16
228,"2020-11-14",0,0,0,0,0.023614020689649,0.00248760223176093,2.22044604925031e-16,2.22044604925031e-16
229,"2020-11-15",0,0,0,0,0.0231215205300702,0.00245833632315215,2.22044604925031e-16,2.22044604925031e-16
230,"2020-11-16",0,0,0,0,0.0226491777781353,0.0024297510170689,2.22044604925031e-16,2.22044604925031e-16
231,"2020-11-17",0,0,0,0,0.0221899181815942,0.00240182284445883,2.22044604925031e-16,2.22044604925031e-16
232,"2020-11-18",0,0,0,0,0.021744911951458,0.00237452980800142,2.22044604925031e-16,2.22044604925031e-16
233,"2020-11-19",0,0,0,0,0.0213101413552121,0.00234784929739244,2.22044604925031e-16,2.22044604925031e-16
234,"2020-11-20",0,0,0,0,0.021060888874653,0.00232176208297692,2.22044604925031e-16,2.22044604925031e-16
235,"2020-11-21",0,0,0,0,0.0209708728451761,0.00229624821393318,2.22044604925031e-16,2.22044604925031e-16
236,"2020-11-22",0,0,0,0,0.0208936200875527,0.00227128936850682,2.22044604925031e-16,2.22044604925031e-16
237,"2020-11-23",0,0,0,0,0.0207881569817226,0.0022468665319133,2.22044604925031e-16,2.22044604925031e-16
238,"2020-11-24",0,0,0,0,0.0207033192371582,0.00222296369646723,2.22044604925031e-16,2.22044604925031e-16
239,"2020-11-25",0,0,0,0,0.0206105338274697,0.00219956407860969,2.22044604925031e-16,2.22044604925031e-16
240,"2020-11-26",0,0,0,0,0.0205303782525194,0.00217665195279096,2.22044604925031e-16,2.22044604925031e-16
