"","date","regioncode","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","population"
"142",2020-07-27,"BRMG",1147,32,113718,2461,0,83873.3893731187,0.0118254755363856,0.011794037106197,0.0118569977695065,0,0.0039621246850195,21168791
"143",2020-07-28,"BRMG",2927,90,116645,2551,3614.18949930454,80085.6676399634,0.0121923274153203,0.0121602465818635,0.0122244928835636,0.000377773429778673,0.00378319515932504,21168791
"144",2020-07-29,"BRMG",2749,57,119394,2608,6179.09787215188,79404.625507408,0.0123861640517745,0.0123537723027417,0.0124186407323876,0.000641031542091257,0.003751023169316,21168791
"145",2020-07-30,"BRMG",4021,84,123415,2692,9652.46873976238,89048.9204203539,0.012842140434165,0.0128088484802094,0.0128755189184751,0.00100440269896217,0.00420661342541262,21168791
"146",2020-07-31,"BRMG",3691,77,127106,2769,8154.02862595761,97202.9490463115,0.0132273314744071,0.0131933000894515,0.0132614506414305,0.000848551913264093,0.00459180446565472,21168791
"147",2020-08-01,"BRMG",2879,92,129985,2861,7680.6979169753,102704.986389743,0.0135901626779924,0.0135554983946034,0.0136249156053035,0.000803030612549232,0.00485171715237506,21168791
"148",2020-08-02,"BRMG",2816,30,132801,2891,1126.78438417247,95270.2675256681,0.0136433912437699,0.0136086802008839,0.0136781908225374,0.00011576087680541,0.00450050584020921,21168791
"149",2020-08-03,"BRMG",942,3,133743,2894,0,88049.2359137443,0.0133794272484474,0.0133453898556122,0.0134135514535917,0,0.00415938897567387,21168791
"150",2020-08-04,"BRMG",1985,149,135728,3043,0,81426.9947353868,0.0138987124421725,0.0138638065602088,0.013933706209133,0,0.00384655858406778,21168791
"151",2020-08-05,"BRMG",3933,152,139661,3195,20838.1938675925,94941.2422819455,0.0146364168459049,0.0146000986347211,0.0146728253997977,0.00218383436866314,0.00448496290042948,21168791
"152",2020-08-06,"BRMG",3167,109,142828,3304,10059.1908597639,105000.433141709,0.0151029637213552,0.0150657859657234,0.0151402332203264,0.00106368215350773,0.00496015257279971,21168791
"153",2020-08-07,"BRMG",4495,77,147323,3381,9703.12330930441,114703.556451014,0.0155613329928599,0.0155232299450679,0.0155995295677243,0.0010249148665644,0.00541852184430438,21168791
"154",2020-08-08,"BRMG",3400,68,150723,3449,6219.45626390685,120923.012714921,0.0158551360855309,0.0158164877952168,0.0158938788146587,0.000654248690924747,0.00571232493697541,21168791
"155",2020-08-09,"BRMG",3204,88,153927,3537,7482.68599909742,124765.931455677,0.0162086133341417,0.0161693253744303,0.0162479967550887,0.000787931708278379,0.00589386193362089,21168791
"156",2020-08-10,"BRMG",1148,60,155075,3597,14.0733772967942,110531.615367718,0.016209278151386,0.0161701315493717,0.0162485195242093,1.47102554978648e-06,0.00522144204492915,21168791
"157",2020-08-11,"BRMG",1476,16,156551,3613,0,100181.560085112,0.0160496819579294,0.0160109532510925,0.0160885043451807,0,0.00473251212528441,21168791
"158",2020-08-12,"BRMG",3934,170,160485,3783,9940.52969132783,100963.949375942,0.0168384585403371,0.0167982299128657,0.016878783507868,0.0010429834381806,0.00476947168952358,21168791
"159",2020-08-13,"BRMG",4430,63,164915,3846,11255.4847507247,111920.005157339,0.017210564169187,0.0171695864449167,0.0172516396927778,0.00117462476159024,0.00528702868091705,21168791
"160",2020-08-14,"BRMG",3513,97,168428,3943,9012.41199922701,120932.417156566,0.0176363046849882,0.0175945281261135,0.0176781804383886,0.000943700833382877,0.00571276919671821,21168791
"161",2020-08-15,"BRMG",3086,101,171514,4044,8255.8786028045,125574.106260066,0.0180263070522847,0.0179838241743113,0.0180688902868287,0.000867701777583992,0.00593203958884877,21168791
"162",2020-08-16,"BRMG",2888,88,174402,4132,6411.63012756588,125806.63851548,0.0183291883140235,0.0182861746612611,0.0183723031456469,0.000673845345856249,0.00594302426224906,21168791
"163",2020-08-17,"BRMG",1313,91,175715,4223,3081.11713075195,119235.286906469,0.0184747382951609,0.0184315658784137,0.0185180118350347,0.000323949763238082,0.0056325978609959,21168791
"164",2020-08-18,"BRMG",2072,83,177787,4306,4056.40386656241,115137.662147074,0.0186663601911191,0.0186229011861197,0.0187099206134593,0.000425893319837233,0.00543902871671197,21168791
