"date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-05-30,"C. Valenciana","ESVC",5003769,5,0,11933,1451,10,107381.067743783,107051.640433464,107711.508792446,0,628.678479966314,1405.91350255044,0.0214600369728864,0.0213942011378751,0.0215260754028506,0,0.000125640987816647,0.000280970904642168
2020-05-31,"C. Valenciana","ESVC",5003769,7,0,11940,1451,10,107288.334518423,106959.167165728,107618.514885232,0,628.678479966314,1093.57028817518,0.0214415042977449,0.0213757204150967,0.0215074906306091,0,0.000125640987816647,0.000218549315161267
2020-06-01,"C. Valenciana","ESVC",5003769,15,0,11955,1451,7,107273.866622913,106944.717669731,107604.02861382,0,528.141491954549,628.678479966315,0.02143861289818,0.0213728326926624,0.0215045955586319,0,0.000105548735753899,0.000125640987816647
2020-06-02,"C. Valenciana","ESVC",5003769,19,2,11974,1453,7,107448.21990167,107118.7122407,107778.74116051,0,374.632837953642,628.678479966315,0.0214734572882301,0.0214076053951932,0.0215395117481462,0,7.48701304863678e-05,0.000125640987816647
2020-06-03,"C. Valenciana","ESVC",5003769,11,2,11985,1455,7,107552.591334667,107222.938022186,107883.258155157,0,221.167069114642,628.678479966315,0.0214943158516445,0.0214284348502472,0.0215603994019622,0,4.42000957907214e-05,0.000125640987816647
2020-06-04,"C. Valenciana","ESVC",5003769,9,1,11994,1456,6,107565.078565189,107235.461863284,107895.70843166,0,206.682550743964,628.678479966315,0.021496811416592,0.0214309377317946,0.0215628875816729,0,4.13053741577527e-05,0.000125640987816647
2020-06-05,"C. Valenciana","ESVC",5003769,8,0,12002,1456,5,107495.744565487,107166.317593388,107826.184189065,0,206.682550743964,628.678479966315,0.021482955061572,0.0214171192941536,0.0215489932067337,0,4.13053741577527e-05,0.000125640987816647
2020-06-06,"C. Valenciana","ESVC",5003769,8,0,12010,1456,5,107428.925577951,107099.680714841,107759.182602621,0,206.682550743964,628.678479966315,0.0214696013301076,0.021403801957053,0.0215356029829956,0,4.13053741577527e-05,0.000125640987816647
2020-06-07,"C. Valenciana","ESVC",5003769,7,0,12017,1456,5,107356.714587474,107027.668445457,107686.772349805,0,206.682550743964,528.14149195455,0.021455170010341,0.0213894103515684,0.0215211318407795,0,4.13053741577527e-05,0.000105548735753899
2020-06-08,"C. Valenciana","ESVC",5003769,5,0,12022,1456,5,107270.81239654,106942.008528531,107600.627204825,0,179.870574250075,374.632837953643,0.0214380025130137,0.0213722912725449,0.0215039157892431,0,3.59470179878557e-05,7.48701304863679e-05
2020-06-09,"C. Valenciana","ESVC",5003769,8,1,12030,1457,4,107290.119257757,106961.334066155,107619.91509216,0,-3.41060513164848e-13,221.167069114643,0.0214418609767471,0.0213761534687462,0.0215077704610584,0,-6.8160723079912e-20,4.42000957907215e-05
2020-06-10,"C. Valenciana","ESVC",5003769,3,0,12033,1457,2,107196.1730079,106867.654809189,107525.701093157,0,-3.41060513164848e-13,206.682550743964,0.021423085879444,0.0213574317297998,0.0214889418542617,0,-6.8160723079912e-20,4.13053741577528e-05
2020-06-11,"C. Valenciana","ESVC",5003769,11,1,12044,1458,2,107252.052321385,106923.443640826,107581.670917649,0,-3.41060513164848e-13,206.682550743964,0.0214342533241213,0.0213685810917383,0.0215001273875051,0,-6.8160723079912e-20,4.13053741577528e-05
2020-06-12,"C. Valenciana","ESVC",5003769,11,0,12055,1458,2,107238.931106285,106910.343295509,107568.528828227,0,-3.41060513164848e-13,206.682550743964,0.0214316310577657,0.0213659629961952,0.0214975009494298,0,-6.8160723079912e-20,4.13053741577528e-05
2020-06-13,"C. Valenciana","ESVC",5003769,3,0,12058,1458,2,107157.354672833,106828.999024091,107486.719574054,0,-3.41060513164848e-13,206.682550743964,0.0214153280602749,0.0213497063961369,0.0214811514228683,0,-6.8160723079912e-20,4.13053741577528e-05
2020-06-14,"C. Valenciana","ESVC",5003769,1,1,12059,1459,3,107133.909536422,106805.707862664,107463.11973623,0,-3.41060513164848e-13,179.870574250075,0.021410642564919,0.021345051672582,0.0214764350105351,0,-6.8160723079912e-20,3.59470179878558e-05
2020-06-15,"C. Valenciana","ESVC",5003769,11,1,12070,1460,4,107203.394677236,106875.060743371,107532.737295178,0,-3.41060513164848e-13,0,0.0214245291253924,0.0213589118009587,0.0214903480346871,0,-6.8160723079912e-20,0
2020-06-16,"C. Valenciana","ESVC",5003769,10,0,12080,1460,3,107194.7986085,106866.476252942,107524.129658018,0,-3.41060513164848e-13,0,0.0214228112066124,0.0213571961960958,0.0214886278039649,0,-6.8160723079912e-20,0
2020-06-17,"C. Valenciana","ESVC",5003769,8,0,12088,1460,3,107170.670875729,106842.406228223,107499.9440898,0,-3.41060513164848e-13,0,0.0214179892948153,0.0213523858172157,0.0214837943337912,0,-6.8160723079912e-20,0
2020-06-18,"C. Valenciana","ESVC",5003769,8,0,12096,1460,2,107147.688936084,106819.478523995,107476.907797906,0,-3.41060513164848e-13,0,0.0214133963690338,0.0213478037303471,0.0214791905457478,0,-6.8160723079912e-20,0
2020-06-19,"C. Valenciana","ESVC",5003769,11,0,12107,1460,2,107152.249393198,106824.010347384,107481.497021922,0,-3.41060513164848e-13,0,0.02141430777344,0.0213487094123218,0.0214801076992008,0,-6.8160723079912e-20,0
2020-06-20,"C. Valenciana","ESVC",5003769,4,0,12111,1460,2,107095.439435877,106767.359783729,107424.527226264,0,-3.41060513164848e-13,0,0.0214029543401937,0.0213373878337967,0.0214687223223662,0,-6.8160723079912e-20,0
2020-06-21,"C. Valenciana","ESVC",5003769,10,1,12121,1461,2,107165.739073835,106837.527615812,107494.95881765,0,-3.41060513164848e-13,0,0.0214170036773949,0.021351410829679,0.0214827980303746,0,-6.8160723079912e-20,0
2020-06-22,"C. Valenciana","ESVC",5003769,7,0,12128,1461,1,107137.460058689,106809.320620517,107466.607606361,0,-3.41060513164848e-13,0,0.0214113521344987,0.0213457736799035,0.021477132059126,0,-6.8160723079912e-20,0
2020-06-23,"C. Valenciana","ESVC",5003769,12,1,12140,1462,2,107227.659221851,106899.327037707,107556.999850352,0,-3.41060513164848e-13,0,0.0214293783789481,0.021363761404195,0.0214951968906542,0,-6.8160723079912e-20,0
2020-06-24,"C. Valenciana","ESVC",5003769,6,2,12146,1464,4,107338.679168593,107010.188457344,107668.178252493,0,-3.41060513164848e-13,0,0.0214515656435365,0.0213859169872437,0.0215174158224517,0,-6.8160723079912e-20,0
2020-06-25,"C. Valenciana","ESVC",5003769,9,0,12155,1464,4,107329.654008812,107001.176375209,107659.140019701,0,-3.41060513164848e-13,0,0.0214497619711885,0.0213841159284548,0.0215156095374708,0,-6.8160723079912e-20,0
